ticker,super_score_4d,tier,description,dimensions,weights
HKHC,35.0,🔵 MODERADA,Seguimiento recomendado,"{'vcp': 0, 'insiders': 100, 'sector': 50, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}"
AIRJ,35.0,🔵 MODERADA,Seguimiento recomendado,"{'vcp': 0, 'insiders': 100, 'sector': 50, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}"
ISBA,35.0,🔵 MODERADA,Seguimiento recomendado,"{'vcp': 0, 'insiders': 100, 'sector': 50, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}"
CBKM,35.0,🔵 MODERADA,Seguimiento recomendado,"{'vcp': 0, 'insiders': 100, 'sector': 50, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}"
AUBN,35.0,🔵 MODERADA,Seguimiento recomendado,"{'vcp': 0, 'insiders': 100, 'sector': 50, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}"
LAKE,35.0,🔵 MODERADA,Seguimiento recomendado,"{'vcp': 0, 'insiders': 100, 'sector': 50, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}"
GTE,35.0,🔵 MODERADA,Seguimiento recomendado,"{'vcp': 0, 'insiders': 100, 'sector': 50, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}"
STEX,35.0,🔵 MODERADA,Seguimiento recomendado,"{'vcp': 0, 'insiders': 100, 'sector': 50, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}"
EML,35.0,🔵 MODERADA,Seguimiento recomendado,"{'vcp': 0, 'insiders': 100, 'sector': 50, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}"
GPUS,35.0,🔵 MODERADA,Seguimiento recomendado,"{'vcp': 0, 'insiders': 100, 'sector': 50, 'institutional': 0}","{'vcp': 0.3, 'insiders': 0.25, 'sector': 0.2, 'institutional': 0.25}"
