ticker,super_score_4d,tier,vcp_score,insiders_score,sector_score,institutional_score,num_whales,top_whales,entry_price,entry_date,snapshot_id,return_7d,exit_price_7d
FOSL,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,3.4100000858306885,2026-02-08,20260208_183944,,
INV,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,3.180000066757202,2026-02-08,20260208_183944,,
TCBI,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,104.47000122070312,2026-02-08,20260208_183944,,
ATLO,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,27.950000762939453,2026-02-08,20260208_183944,,
THM,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,2.569999933242798,2026-02-08,20260208_183944,,
PETV,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,0.8600000143051147,2026-02-08,20260208_183944,,
CZNC,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,23.489999771118164,2026-02-08,20260208_183944,,
LB,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,56.720001220703125,2026-02-08,20260208_183944,,
STRR,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,9.93000030517578,2026-02-08,20260208_183944,,
BOC,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,12.539999961853027,2026-02-08,20260208_183944,,
PPTIN,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,,2026-02-08,20260208_183944,,
ASTS,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,101.79000091552734,2026-02-08,20260208_183944,,
VSTS,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,7.179999828338623,2026-02-08,20260208_183944,,
RZLT,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,3.119999885559082,2026-02-08,20260208_183944,,
CFBK,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,33.310001373291016,2026-02-08,20260208_183944,,
DFDV,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,3.700000047683716,2026-02-08,20260208_183944,,
AEBI,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,15.609999656677246,2026-02-08,20260208_183944,,
CCNE,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,29.15999984741211,2026-02-08,20260208_183944,,
AZO,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,3681.260009765625,2026-02-08,20260208_183944,,
NWPP,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,3.910000085830689,2026-02-08,20260208_183944,,
AFCG,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,2.1700000762939453,2026-02-08,20260208_183944,,
CGEH,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,4.789999961853027,2026-02-08,20260208_183944,,
NEOG,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,10.800000190734863,2026-02-08,20260208_183944,,
QNBC,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,37.7599983215332,2026-02-08,20260208_183944,,
ANNX,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,5.730000019073486,2026-02-08,20260208_183944,,
BRR,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,2.1700000762939453,2026-02-08,20260208_183944,,
ROLR,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,5.289999961853027,2026-02-08,20260208_183944,,
PODC,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,2.8299999237060547,2026-02-08,20260208_183944,,
ARX,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,11.720000267028809,2026-02-08,20260208_183944,,
NRDE,35.0,🔵 MODERADA,0.0,100,50,0.0,0,,1.4900000095367432,2026-02-08,20260208_183944,,
